instance_id,source_slug,docker_slug,repo_name,repo_owner,repo_full_name,repo_sequence_id,project_name,pr_link,pr_merge_date,base_commit,requirement_doc_link,mapped_file,req_doc_file
arrow_1,Apache-Arrow_PR-240_PR-45459,Apache-Arrow_PR-240_PR-45459,arrow,apache,apache/arrow,1,Apache Arrow,https://github.com/apache/arrow/pull/45459,2025-04-30,f9c18462db2af84a795e393985bbc615873ee3e7,https://github.com/apache/parquet-format/pull/240,Apache-Arrow_PR-240_PR-45459.md,Apache-Arrow_PR-240_PR-45459.md
arrow_2,Apache-Arrow_Issue-45750_PR-45360,Apache-Arrow_Issue-45750_PR-45360,arrow,apache,apache/arrow,2,Apache Arrow,https://github.com/apache/arrow/pull/45360,2025-05-13,12424cdf2fda068e973ebd89cda045fee297943a,https://github.com/apache/arrow/issues/45750,Apache-Arrow_Issue-45750_C-Python-Parquet-Support-Content-Defined-Chunking-of-P_PR-45360.md,Apache-Arrow_Issue-45750_C-Python-Parquet-Support-Content-Defined-Chunking-of-P_PR-45360.md
datafusion_1,Apache-DataFusion_Issue-15797_PR-16170,Apache-DataFusion_Issue-15797_PR-16170,datafusion,apache,apache/datafusion,1,Apache DataFusion,https://github.com/apache/datafusion/pull/16170,2025-06-06,85f6621a6b1680b40d483a56b10ff3495861ece3,https://github.com/apache/datafusion/issues/15797,Apache-DataFusion_Issue-15797_PR-16170.md,Apache-DataFusion_Issue-15797_PR-16170.md
datafusion_2,Apache-DataFusion_Extension-Type-Registry_PR-20312,Apache-DataFusion_Extension-Type-Registry_PR-20312,datafusion,apache,apache/datafusion,2,Apache DataFusion,https://github.com/apache/datafusion/pull/20312,2026-03-30,5fccac12cc6cfa2c10ce231f8486896f0e3fc115,https://github.com/apache/datafusion/pull/20312,Apache-DataFusion_Issue-18223_PR-20312.md,Apache-DataFusion_Issue-18223_PR-20312.md
flink_1,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976,flink,apache,apache/flink,1,Apache Flink,https://github.com/apache/flink/pull/9976,2019-10-29,005bda9be361ffe6c371ebefed32e614cbacd876,https://cwiki.apache.org/confluence/display/FLINK/FLIP-77,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976.md,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976.md
flink_2,Apache-Flink_FLIP-126-Unify-and-separate-Watermark-Assigners_PR-12306,Apache-Flink_FLIP-126-Unify-and-separate-Watermark-Assigners_PR-12306,flink,apache,apache/flink,2,Apache Flink,https://github.com/apache/flink/pull/12306,2020-05-27,3ec768a6c8f37dbe1dbb684e84c9844ad09957d9,https://cwiki.apache.org/confluence/display/FLINK/FLIP-126,Apache-Flink_FLIP-126-Unify-and-separate-Watermark-Assigners_PR-12306.md,Apache-Flink_FLIP-126-Unify-and-separate-Watermark-Assigners_PR-12306.md
flink_3,Apache-Flink_FLIP-198-Working-directory-for-Flink-processes_PR-18083,Apache-Flink_FLIP-198-Working-directory-for-Flink-processes_PR-18083,flink,apache,apache/flink,3,Apache Flink,https://github.com/apache/flink/pull/18083,2022-01-19,50ff5084461c5dda106cefd53afeeff240c5b416,https://cwiki.apache.org/confluence/display/FLINK/FLIP-198,Apache-Flink_FLIP-198-Working-directory-for-Flink-processes_PR-18083.md,Apache-Flink_FLIP-198-Working-directory-for-Flink-processes_PR-18083.md
flink_4,Apache-Flink_FLIP-335-Removing-Flinks-Time-classes_PR-22984,Apache-Flink_FLIP-335-Removing-Flinks-Time-classes_PR-22984,flink,apache,apache/flink,4,Apache Flink,https://github.com/apache/flink/pull/22984,2024-01-08,639deeca33757c7380d474d43b8a70bacb84dd20,https://cwiki.apache.org/confluence/display/FLINK/FLIP-335,Apache-Flink_FLIP-335-Removing-Flinks-Time-classes_PR-22984.md,Apache-Flink_FLIP-335-Removing-Flinks-Time-classes_PR-22984.md
flink_5,Apache-Flink_FLIP-400_AsyncScalarFunction-for-asynchronous-scalar-function-support_PR-23975,Apache-Flink_FLIP-400_AsyncScalarFunction-for-asynchronous-scalar-function-support_PR-23975,flink,apache,apache/flink,5,Apache Flink,https://github.com/apache/flink/pull/23975,2024-01-15,a675d0dd63b409be9d0db169d61a837fc2094049,https://cwiki.apache.org/confluence/display/FLINK/FLIP-400:+AsyncScalarFunction+for+asynchronous+scalar+function+support,Apache-Flink_FLIP-400_AsyncScalarFunction-for-asynchronous-scalar-function-support_PR-23975.md,Apache-Flink_FLIP-400_AsyncScalarFunction-for-asynchronous-scalar-function-support_PR-23975.md
flink_6,Apache-Flink_FLIP-470-Support-Adaptive-Broadcast-Join_PR-25578,Apache-Flink_FLIP-470-Support-Adaptive-Broadcast-Join_PR-25578,flink,apache,apache/flink,6,Apache Flink,https://github.com/apache/flink/pull/25578,2025-01-03,56ba88bf0b4a9fb9956ab81505eefcd9f7074b77,https://cwiki.apache.org/confluence/display/FLINK/FLIP-470,Apache-Flink_FLIP-470-Support-Adaptive-Broadcast-Join_PR-25578.md,Apache-Flink_FLIP-470-Support-Adaptive-Broadcast-Join_PR-25578.md
