instance_id,source_slug,docker_slug,repo_name,repo_owner,repo_full_name,repo_sequence_id,project_name,pr_link,pr_merge_date,base_commit,requirement_doc_link,mapped_file,req_doc_file,weighted_instance_score
flink_1,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976,flink,apache,apache/flink,1,Apache Flink,https://github.com/apache/flink/pull/9976,2019-10-29,005bda9be361ffe6c371ebefed32e614cbacd876,https://cwiki.apache.org/confluence/display/FLINK/FLIP-77,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976.md,Apache-Flink_FLIP-77-Introduce-ConfigOptions-with-Data-Types_PR-9976.md,9.2
flink_7,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731,flink,apache,apache/flink,7,Apache Flink,https://github.com/apache/flink/pull/25731,2025-01-08,f0c8f18ee09297c4c92b36d8ce7d0e0259f80178,https://cwiki.apache.org/confluence/display/FLINK/FLIP-467,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731.md,Apache-Flink_FLIP-467-Introduce-Generalized-Watermarks_PR-25731.md,9.2
flink_9,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978,flink,apache,apache/flink,9,Apache Flink,https://github.com/apache/flink/pull/25978,2025-01-17,c4bea91284bf1871e23a4c93fbf9f3b65b1a89d4,https://cwiki.apache.org/confluence/display/FLINK/FLIP-499,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978.md,Apache-Flink_FLIP-499-Support-Event-Time-by-Generalized-Watermark-in-Data_PR-25978.md,8.9
flink_10,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001,flink,apache,apache/flink,10,Apache Flink,https://github.com/apache/flink/pull/26001,2025-01-18,180d587717ba0997c35f89e080974851eea7a938,https://cwiki.apache.org/confluence/display/FLINK/FLIP-501,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001.md,Apache-Flink_FLIP-501-Support-Window-Extension-in-DataStream-V2-API_PR-26001.md,8.7
flink_11,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567,flink,apache,apache/flink,11,Apache Flink,https://github.com/apache/flink/pull/26567,2025-07-20,7309fe832cb303c9adf6bfb441790e3d293908fe,https://cwiki.apache.org/confluence/display/FLINK/FLIP-498:+AsyncTableFunction+for+async+table+function+support,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567.md,Apache-Flink_FLIP-498_AsyncTableFunction-for-async-table-function-support_PR-26567.md,9.0
kafka_1,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378,kafka,apache,apache/kafka,1,Apache Kafka,https://github.com/apache/kafka/pull/7378,2019-10-07,0de61a4683b92bdee803c51211c3277578ab3edf,https://cwiki.apache.org/confluence/display/KAFKA/KIP-470%3A+TopologyTestDriver+test+input+and+output+usability+improvements,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378.md,Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378.md,9.1
kafka_2,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572,kafka,apache,apache/kafka,2,Apache Kafka,https://github.com/apache/kafka/pull/11572,2022-03-03,066cdc8c621dfc4d26e12ee539368d6c1eb2707f,https://cwiki.apache.org/confluence/display/KAFKA/KIP-769,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572.md,Apache-Kafka_KIP-769-Connect-APIs-to-list-all-connector-plugins-and-retri_PR-11572.md,9.2
cpython_1,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503,cpython,python,python/cpython,1,CPython,https://github.com/python/cpython/pull/19503,2020-04-22,a81849b0315277bb3937271174aaaa5059c0b445,https://peps.python.org/pep-0617/,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503.md,CPython_PEP-617_New-PEG-parser-for-CPython_PR-19503.md,8.8
cpython_2,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909,cpython,python,python/cpython,2,CPython,https://github.com/python/cpython/pull/19909,2020-05-16,6e8cda91d92da72800d891b2fc2073ecbc134d98,https://peps.python.org/pep-0615/,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909.md,CPython_PEP-615_Support-for-the-IANA-Time-Zone-Database-in-the-Standard-Library_PR-19909.md,9.1
cpython_3,CPython_PEP-634_Structural-Pattern-Matching_PR-22917,CPython_PEP-634_Structural-Pattern-Matching_PR-22917,cpython,python,python/cpython,3,CPython,https://github.com/python/cpython/pull/22917,2021-02-26,cc02b4f2e810ab524d845daa18bc94df5b092dd8,https://peps.python.org/pep-0634/,CPython_PEP-634_Structural-Pattern-Matching-Specification_PR-22917.md,CPython_PEP-634_Structural-Pattern-Matching-Specification_PR-22917.md,9.0
cpython_4,CPython_PEP-654_Exception-Groups-and-except_PR-29581,CPython_PEP-654_Exception-Groups-and-except_PR-29581,cpython,python,python/cpython,4,CPython,https://github.com/python/cpython/pull/29581,2021-12-14,850aefc2c651110a784cd5478af9774b1f6287a3,https://peps.python.org/pep-0654/,CPython_PEP-654_Exception-Groups-and-except_PR-29581.md,CPython_PEP-654_Exception-Groups-and-except_PR-29581.md,9.2
