instance_id,title,weighted_instance_score,implementable_sections,total_section_weight,score_file,source_mapping
Apache-Kafka_KIP-460_Admin-Leader-Election-RPC_PR-6686,Apache Kafka - KIP-460 Admin Leader Election RPC,9.1,8,7.9,scores/Apache-Kafka_KIP-460_Admin-Leader-Election-RPC_PR-6686.md,requirement_pr_pairs/Apache-Kafka_KIP-460_Admin-Leader-Election-RPC_PR-6686.md
Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378,Apache Kafka - KIP-470 TopologyTestDriver test input and output usability improvements,9.1,2,2.0,scores/Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378.md,requirement_pr_pairs/Apache-Kafka_KIP-470_TopologyTestDriver-test-input-and-output-usability-improvements_PR-7378.md
Apache-Kafka_KIP-595_A-Raft-Protocol-for-the-Metadata-Quorum_PR-9130,Apache Kafka - KIP-595 A Raft Protocol for the Metadata Quorum,9.0,27,24.8,scores/Apache-Kafka_KIP-595_A-Raft-Protocol-for-the-Metadata-Quorum_PR-9130.md,requirement_pr_pairs/Apache-Kafka_KIP-595_A-Raft-Protocol-for-the-Metadata-Quorum_PR-9130.md
Apache-Spark_SPARK-30602_PR-30062,Apache Spark - SPARK-30602 SPIP: Support push-based shuffle to improve shuffle efficiency,8.8,1,1.0,scores/Apache-Spark_SPARK-30602_PR-30062.md,requirement_pr_pairs/Apache-Spark_SPARK-30602_PR-30062.md
Apache-Spark_SPARK-32268_PR-35789,Apache Spark - SPARK-32268 Bloom Filter Join,9.0,1,0.8,scores/Apache-Spark_SPARK-32268_PR-35789.md,requirement_pr_pairs/Apache-Spark_SPARK-32268_PR-35789.md
CPython_PEP-709_Inlined-comprehensions_PR-101441,CPython - PEP 709: Inlined comprehensions,8.9,1,1.0,scores/CPython_PEP-709_Inlined-comprehensions_PR-101441.md,requirement_pr_pairs/CPython_PEP-709_Inlined-comprehensions_PR-101441.md
CPython_PEP-669_Low-Impact-Monitoring-for-CPython_PR-103083,CPython - PEP 669: Low Impact Monitoring for CPython,8.9,13,11.8,scores/CPython_PEP-669_Low-Impact-Monitoring-for-CPython_PR-103083.md,requirement_pr_pairs/CPython_PEP-669_Low-Impact-Monitoring-for-CPython_PR-103083.md
CPython_PEP-695_Type-Parameter-Syntax_PR-103764,CPython - PEP-695: Type Parameter Syntax,9.1,15,15.0,scores/CPython_PEP-695_Type-Parameter-Syntax_PR-103764.md,requirement_pr_pairs/CPython_PEP-695_Type-Parameter-Syntax_PR-103764.md
CPython_PEP-696_Type-Defaults-for-Type-Parameters_PR-116129,CPython - PEP 696: Type Defaults for Type Parameters,9.1,7,7.0,scores/CPython_PEP-696_Type-Defaults-for-Type-Parameters_PR-116129.md,requirement_pr_pairs/CPython_PEP-696_Type-Defaults-for-Type-Parameters_PR-116129.md
CPython_PEP-768_Safe-external-debugger-interface-for-CPython_PR-131937,CPython - PEP 768: Safe external debugger interface for CPython,9.2,6,6.0,scores/CPython_PEP-768_Safe-external-debugger-interface-for-CPython_PR-131937.md,requirement_pr_pairs/CPython_PEP-768_Safe-external-debugger-interface-for-CPython_PR-131937.md
